designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc
Gaia DR3 6490573544291074304,1,0,348.3171842,348.305087,-60.58422894,-60.58791745,5.665417,0.936648,317.6938945,-49.43237176,3.459966308,39.64006287,-23.18514203,0.020562543,0.02593456,0.029630782,0.024044143,0.033463933,,,2016,,,,0.0069,0.616022,0.73608,0.804334,5065.45,5426.55,5513.28,4.50686,4.554503,4.673439,-0.957541,-0.608562,-0.261564,1.67094,1.729794,2.325478,2.687733,2.912877,0.006007,0.016111,0.139201,0.217471,0.396011,0.596191,-7.079051,-0.85766,-1.848172,7.130816,0.044034243,0.118978,0.145864,0.084876,25.17475375,0.060988,5.665417,0.936648
Gaia DR3 6393742067789521152,1,1,347.3660905,347.3660905,-63.65354659,-63.65354659,2.298963,0.163139,314.1872095,-51.58853318,4.104261638,62.14304463,-41.23637541,0.011364562,0.011660827,0.015324083,0.013547839,0.014173762,,,2016,8015.518555,,,0.000331,1.50611,1.627841,1.678415,8257.15,8463.82,8765.34,4.302343,4.336446,4.356934,-0.507953,-0.206824,-0.098687,0.238775,0.239599,0.241588,0.243477,0.24453,0.055381,0.071516,0.153056,0.233637,0.336811,1,-8.080511,-0.099592,-0.184848,8.081125,-0.00451088,0.140868,0.166887,0.094988,0.00000013,0.071899,3.825913,0.894731
Gaia DR3 2382427228199293824,1,2,345.707633,345.707633,-26.92170842,-26.92170842,1.718596,0.234519,336.1460494,-19.138567,2.030447397,20.57543955,1.122409673,0.02006233,0.019751903,0.027087007,0.022440434,0.020220287,,,2016,7837.752,,,0.000092,1.638523,1.747179,1.846456,7614.19,7975.96,8220.37,4.022924,4.044944,4.088483,-0.430279,-0.214737,0.201987,0.471983,0.478068,0.481646,0.493334,0.499673,-0.154918,-0.054345,0.120227,0.206214,0.211842,1,-8.024724,0.089888,-0.439524,8.025228,-0.007592678,0.109567,0.130381,0.07444,0.00015,0.055941,3.278831,0.67326
Gaia DR3 6540158877300621696,1,3,345.4445206,345.4445206,-44.84100289,-44.84100289,2.361751,0.457022,327.1004739,-35.1746679,10.01288468,-90.52645992,-45.73022533,0.010657807,0.021040618,0.022876173,0.013040161,0.02624392,51.00457,0.27650777,2016,6804.58,11.08844,1.7410902,0.000451,1.439,1.446222,1.683112,6975.9,6975.9,7470.94,4.009,4.010545,4.102481,-0.237356,-0.234853,0.080627,0.099206,0.099489,0.099674,0.099825,0.099976,0.097072,0.102158,0.130382,0.392607,0.419992,1,-8.154234,-0.010799,-0.087885,8.154241,0.001974583,0.116008,0.139573,0.080259,0.000051,0.059314,2.885473,0.633547
Gaia DR3 1932476489951202432,1,4,340.4758944,340.4758944,40.51083178,40.51083178,2.185573,0.091031,2.019758648,44.19157183,1.787687838,-1.517550505,-4.948335962,0.019157648,0.023791527,0.03363201,0.02562108,0.032846157,-3.1652195,10.705,2016,9221.556,67.416916,124.22249,0.000023,1.486825,1.676742,1.751962,7783.29,8634.55,9251.72,4.243989,4.320208,4.379519,-0.521083,-0.219938,-0.102625,0.526714,0.535855,0.547682,0.563969,0.572701,0.139819,0.15492,0.490733,0.645466,0.741284,1,-8.272122,0.52157,-0.150727,8.288548,-0.000765,0.448279,0.533165,0.303777,0.000072,0.229388,2.866597,0.626589
Gaia DR3 2401638960512043264,1,5,338.3013759,338.3013759,-20.03935739,-20.03935739,2.688228,0.493744,332.4697641,-10.14998839,4.714879438,4.684710117,12.11754642,0.013616322,0.014748441,0.018824188,0.016623583,0.018043887,9.180768,0.52210975,2016,6414.073,6.749523,4.37835,0.000058,1.443919,1.454061,1.501426,6537.3,6841.43,6998.86,4.085761,4.123259,4.156988,-0.124633,0.067591,0.190295,0.208379,0.209523,0.210793,0.212462,0.213955,-0.004224,0.081094,0.23795,0.289809,0.365317,1,-8.111198,0.069529,-0.178084,8.111497,0.000597,0.210287,0.253835,0.146196,0.0000558,0.107639,2.819553,0.577909
Gaia DR3 2173914571812599680,1,6,327.0671362,327.0671362,54.3875213,54.3875213,1.937967,0.146534,3.855200275,60.67008551,7.625063717,35.64953815,30.80150423,0.018050652,0.018807584,0.020541271,0.025815869,0.025224596,-11.78762913,0.216706425,2016,7584.52002,69.81506348,1.775262475,0.000209,1.688098,1.822449,1.835055,7845.39,8372.26,8813.58,4.177658,4.235268,4.244843,-0.116708,-0.089573,0.112347,0.129741,0.130101,0.130148,0.130973,0.131321,0.09834,0.152316,0.346297,0.473233,0.476787,1,-8.218697,0.128792,0.001217,8.219706,-0.00066,0.316039,0.375961,0.214381,7.92E-08,0.16158,2.771185,0.568687
Gaia DR3 6786140038118162816,1,7,321.5162325,321.5162325,-29.93021046,-29.93021046,1.84074,0.252309,314.3785051,-14.07854562,4.16067848,22.30485101,-38.27306473,0.448891759,0.357892871,0.608689368,0.586616814,0.436654627,,,2016,7268.45459,,,0.000197,1.479849,1.786355,2.091138,7367.16,7717.59,8104.46,3.872547,3.991492,4.144452,-0.142647,0.084493,0.19031,0.156094,0.190642,0.219467,0.300069,0.321797,-0.046477,0.113539,0.282083,0.457518,0.598204,0.666016,-8.05181,0.044418,-0.155669,8.051933,0.03342104,0.25419,0.304109,0.17411,0.000000122,0.129999,2.722212,0.559936
Gaia DR3 6861716894000051072,1,8,309.5408637,309.5408637,-17.50178747,-17.50178747,2.048261,0.336373,307.3903133,0.953103393,3.080756792,3.561215672,3.235269433,0.015346823,0.010802045,0.017800704,0.017429104,0.012263459,,,2016,7499.855957,,,0.000021,1.670214,1.731119,1.804364,7505.61,7771.97,7955.97,4.104403,4.134591,4.163064,-0.11044,0.089227,0.28733,0.317229,0.319331,0.321473,0.323389,0.324891,0.011502,0.017786,0.124731,0.224475,0.346394,1,-7.957424,0.129399,-0.166607,7.958476,-0.006295562,0.113123,0.13491,0.077137,0.000000143,0.057773,2.688228,0.514914
Gaia DR3 6860869651574027648,1,9,307.388438,307.388438,-18.22005316,-18.22005316,2.381899,0.169605,305.2273882,0.764117706,3.461731731,6.716596201,1.776003772,0.016859898,0.010963234,0.019136207,0.020418376,0.01381638,-14.292047,3.807645,2016,8261.8,147.88402,15.271997,0.000031,1.426248,1.540292,1.648221,7833.9,8162.7,8577.76,4.250007,4.298474,4.325187,-0.514929,-0.282775,-0.092779,0.282492,0.283506,0.284646,0.289104,0.291119,0.05191,0.146121,0.299234,0.421002,0.588775,1,-7.978313,0.110199,-0.140481,7.979075,0.002744556,0.272241,0.324293,0.185123,0.0000215,0.13917,2.678404,0.505329
Gaia DR3 6475174441563986304,1,10,306.0491988,306.0491988,-51.72367967,-51.72367967,1.41797,0.318728,295.2829857,-31.40150503,2.878349195,15.01114975,1.450732544,0.048114188,0.03861928,0.06503882,0.050665103,0.053749803,,,2016,7388.8364,,,0.000067,1.589577,1.932718,2.098,7423.6,7530.09,8129.38,3.811727,3.88264,3.943387,-0.523279,0.080049,0.386242,0.331065,0.337431,0.34392,0.349886,0.361106,-0.03197,-0.03056,0.08237,0.319536,0.410901,1,-7.925802,-0.063109,-0.197773,7.926054,-0.000844,0.074387,0.088881,0.050892,0.0000696,0.037989,2.58697,0.501131
Gaia DR3 6422751440841970688,1,11,305.6521782,305.6521782,-70.18344995,-70.18344995,1.908496,0.07838,287.4930737,-48.90111633,0.835608831,11.63405633,-3.46041133,0.009389541,0.012556505,0.015204585,0.012034402,0.01543237,,,2016,9019.99707,,,0.000054,1.685531,1.799006,1.893915,8439.61,8811.11,9671.17,4.213274,4.272796,4.32741,-0.403822,-0.209034,-0.000762,1.090756,1.106198,1.143947,1.173044,1.197338,0.000208,0.096865,0.185782,0.376379,0.431068,1,-7.416458,-0.552043,-0.624441,7.436975,-0.011704922,0.172099,0.203303,0.115474,0.00000014,0.087829,2.553139,0.493744
Gaia DR3 6430985408544678656,1,12,304.3074075,304.3074075,-61.57396995,-61.57396995,2.885473,0.559936,290.6856981,-40.57588138,1.52857806,7.632953319,-5.881306373,0.029118029,0.026244299,0.043580338,0.028982773,0.028875913,-20.71678543,1.439591527,2016,6731.441406,,,0.000043,1.161788,1.317761,1.416025,6263.9,6506.18,6844.54,3.989336,4.044596,4.077105,-0.456363,-0.09743,-0.039556,0.582659,0.597383,0.625809,0.671534,0.681672,-0.058405,-0.051126,0.102129,0.299996,0.490176,1,-7.728002,-0.218682,-0.347899,7.731096,-0.000756,0.089898,0.108695,0.062711,0.000000071,0.045984,2.545061,0.491847
Gaia DR3 6361864751800095232,1,13,303.485315,303.485315,-78.87850574,-78.87850574,2.26291,0.355439,281.1911299,-56.74722138,3.453103285,19.96046103,-21.95090323,0.010159016,0.011892497,0.013906831,0.012414842,0.015780462,,,2016,7298.835938,,,0.000132,1.582655,1.739318,1.780981,7493.42,7749.44,8014.08,4.192205,4.22407,4.243829,-0.125803,0.207544,0.308052,0.283553,0.286524,0.287466,0.289264,0.291254,0.130815,0.229539,0.351759,0.451027,0.485319,1,-8.024812,-0.175011,-0.146002,8.02672,-0.009666204,0.316485,0.378946,0.216999,0.000000179,0.161947,2.518429,0.480394
Gaia DR3 2086473637560331264,1,14,298.5716,298.5716,47.96392795,47.96392795,2.504796,0.236783,322.6848472,66.2554911,1.376204114,2.040880573,-2.861816772,0.009405113,0.01218739,0.011623607,0.012699943,0.014033564,-14.68373203,10.18774414,2016,8003.980469,28.77322388,184.1126404,0.000016,1.40489,1.466991,1.58834,7651.51,8009.95,8204.1,4.252612,4.284083,4.322527,-0.502907,-0.242541,-0.091252,0.683478,0.691868,0.700085,0.712165,0.715349,0.100911,0.113788,0.245414,0.351617,0.468368,1,-8.104299,0.682316,0.124117,8.132971,-0.007993817,0.222903,0.265703,0.151783,0.000000121,0.11392,2.506163,0.474245
Gaia DR3 2078414908830476416,1,15,298.0749436,298.0749436,42.02053076,42.02053076,1.765366,0.158848,316.2132045,61.03293338,0.542521884,-4.893932249,-3.986807512,0.009880055,0.010738548,0.011694982,0.01364026,0.013518166,,,2016,8147.9375,,,0.000028,1.687594,1.844021,2.071642,7900.58,8330.19,9237.68,4.105946,4.161064,4.238111,-0.321715,-0.003121,0.289903,1.609038,1.628265,1.675074,1.748306,1.787928,0.566836,0.707015,0.853188,1.112644,1.278899,1,-7.815629,1.615382,0.220622,7.980822,-0.005891085,0.765032,0.918127,0.525311,0.000000206,0.392816,2.504796,0.473944
Gaia DR3 2073649762877445504,1,16,297.1114288,297.1114288,39.86610306,39.86610306,0.41088,0.076156,313.2482409,59.30159922,2.116963089,0.986292874,-4.642474186,0.01087286,0.012598192,0.013815539,0.014655467,0.015051234,,,2016,8135.758,,,0.000021,2.003637,2.114107,2.506882,8068.97,8527.02,9135.25,3.692033,3.711343,3.834844,-0.512802,-0.237212,0.12754,0.457176,0.457467,0.465544,0.466556,0.472975,0.014233,0.260932,0.413577,0.564791,0.606283,1,-8.075509,0.444854,0.05778,8.087752,-0.000762,0.377883,0.449338,0.25607,0.0000578,0.193268,2.465316,0.471911
Gaia DR3 2086580535008581632,1,17,296.6217233,296.6217233,47.63056152,47.63056152,1.574696,0.367021,319.3956066,66.56265962,1.073902014,2.240665842,-1.487166425,0.022837056,0.021916496,0.02438573,0.030914886,0.026747713,2.67516923,3.757947922,2016,,35.76724625,28.10219765,0.000012,1.860351,1.92793,1.984054,7455.9,7655.97,7917.72,3.954272,3.981266,3.989,0.080576,0.192383,0.387537,0.838042,0.856603,0.870783,0.906773,0.948667,0.035562,0.051314,0.12178,0.236375,0.340131,1,-8.067486,0.843863,0.169111,8.1115,0.005431414,0.110159,0.131532,0.075265,0.00000018,0.056267,2.458177,0.457022
Gaia DR3 2134831743800134656,1,18,295.1362813,295.1362813,49.27320798,49.27320798,2.127192,0.271668,319.0518474,68.47350775,0.80146324,-8.786476446,-18.02929966,0.011075607,0.011533153,0.011958082,0.015437549,0.015035279,,,2016,7570.593,,,0.000089,1.534049,1.62618,1.724024,7425.95,7769.6,8263.46,4.120197,4.150302,4.177932,-0.323763,-0.126632,0.094199,1.143253,1.151314,1.196974,1.205944,1.237849,-0.003316,0.140965,0.283059,0.506976,0.574706,1,-8.039562,1.156002,0.265831,8.122248,-0.006428242,0.255367,0.305355,0.174762,0.0000989,0.130593,2.406042,0.449932
Gaia DR3 6684888176981899264,1,19,295.0325472,295.0325472,-44.33592963,-44.33592963,2.109881,0.221064,289.1286566,-22.54495968,0.674961286,-0.797557024,-1.658694483,0.012678623,0.010786218,0.01574031,0.0160681,0.011614706,,,2016,8298.196,,,0.000008,1.457186,1.557575,1.806179,7726.21,7983.71,8467.9,4.129096,4.158038,4.244139,-0.530712,-0.309985,0.112814,1.304737,1.346709,1.409286,1.43477,1.461925,-0.034678,0.090982,0.212343,0.370217,0.495853,1,-6.949154,-0.118687,-0.638267,6.950168,-0.01306355,0.192962,0.229949,0.131355,0.0000935,0.098594,2.403373,0.442668
Gaia DR3 6752277588245937280,1,20,294.8350105,294.8350105,-29.74298502,-29.74298502,1.888852,0.375458,291.6166236,-8.148453666,2.972287967,-14.03480896,-17.50209538,0.020841943,0.018218704,0.02608436,0.02530931,0.018664889,,,2016,7248.0176,,,0.0001,1.443808,1.699,1.721003,7105.64,7333.31,7592.77,3.890106,3.971,3.987849,-0.624817,-0.029847,0.07863,0.325909,0.328417,0.333666,0.33581,0.338624,0.177256,0.326377,0.390136,0.52165,0.566363,1,-7.896944,0.053424,-0.128981,7.897125,-0.003508687,0.347181,0.417824,0.240008,0.0000549,0.177816,2.381899,0.437237
Gaia DR3 2128923414988409216,1,21,292.8602919,292.8602919,48.50097352,48.50097352,1.977875,0.491847,314.4658309,68.43974199,0.732127316,8.959228766,4.531109339,0.010526641,0.010749964,0.011627042,0.013670914,0.013843354,,,2016,7071.7886,,,0.000045,1.570233,1.578955,1.619147,6496.47,6634.85,7126.48,3.826144,3.877,3.917,-0.164925,-0.056212,-0.029422,1.243044,1.257173,1.326008,1.333541,1.341914,-0.131643,-0.08117,0.072509,0.256016,0.331887,1,-7.9921,1.270649,0.317056,8.092479,-0.005385399,0.064093,0.077341,0.044571,0.000105,0.03277,2.372011,0.428137
Gaia DR3 2129738565420917248,1,22,291.5731126,291.5731126,49.09770032,49.09770032,2.007756,0.437237,313.0184908,69.33598747,1.231625853,-4.81181865,-10.03809845,0.02011798,0.02037974,0.02182525,0.029727826,0.02765568,-30.42402,7.0966015,2016,7032.242,,,0.000049,1.461683,1.546854,1.740552,6797.44,6914.14,7231.54,3.847864,3.925,3.952,-0.535608,0.065615,0.277752,0.739772,0.755597,0.788786,0.808085,0.815638,-0.052703,0.084806,0.170757,0.291895,0.308507,1,-8.07937,0.752822,0.202215,8.114368,-0.002583146,0.151504,0.182527,0.105031,0.0000717,0.077496,2.364781,0.406111
Gaia DR3 2127848504932891776,1,23,290.3701499,290.3701499,47.18139111,47.18139111,2.819553,0.568687,308.936351,67.88574191,1.36250064,-1.591976238,-7.338589865,0.009093092,0.009474128,0.010038172,0.013478635,0.013513733,-11.445915,38.492214,2016,6206.935,11.273881,83.678406,0.000033,1.084743,1.356474,1.453302,6454.9,6630.13,7104.17,3.981231,4.092213,4.143872,-0.553476,-0.330458,0.071748,0.706915,0.71178,0.717407,0.726041,0.73684,0.024448,0.034679,0.185161,0.434241,0.534831,1,-8.06466,0.680282,0.183226,8.093302,-0.006086946,0.163058,0.197134,0.113682,0.0000518,0.083452,2.361751,0.39252
Gaia DR3 6713091577946724864,1,24,289.3887756,289.3887756,-42.7021759,-42.7021759,2.58697,0.199502,285.0745607,-20.27225117,2.430430026,-47.82953865,-20.86335939,0.016372195,0.016073432,0.018507386,0.019095417,0.018283695,51.077595,5.6906333,2016,7822.084,,,0.000232,1.262725,1.331,1.40041,7293.12,7471.34,7684.22,4.126597,4.148627,4.19,-0.643246,-0.531705,-0.42902,0.39821,0.401475,0.405953,0.406598,0.413369,0.075779,0.164518,0.273191,0.386866,0.587578,1,-7.826434,-0.031538,-0.15573,7.826497,0.054558396,0.244837,0.29365,0.168401,0.0000401,0.125249,2.360844,0.3896
Gaia DR3 6763969142066777344,1,25,286.7907373,286.7907373,-26.331827,-26.331827,0.85875,0.294735,285.0382229,-3.764872436,2.541137118,-2.063395233,-4.425023672,0.016679777,0.014404496,0.018594755,0.019413132,0.015467653,,,2016,7323.540039,,,0.000022,1.927059,2.123822,2.173016,7268.61,7846.93,8109.61,3.725,3.764574,3.796,-0.316078,-0.014437,0.28842,0.379981,0.383551,0.386332,0.389402,0.395183,0.030092,0.124274,0.362701,0.451952,0.473371,1,-7.833046,0.06887,-0.099266,7.833349,-0.005873799,0.326944,0.391139,0.223846,0.000000207,0.167293,2.298963,0.38068
Gaia DR3 2106134455951549824,1,26,286.6148257,286.6148257,44.84258033,44.84258033,1.75418,0.348534,300.5955168,66.52583545,2.060928803,4.145943955,-8.820672201,0.008903139,0.010339613,0.010196747,0.01146049,0.012660253,10.546614,1.0225128,2016,7460.5283,18.998981,7.231109,0.000043,1.848714,1.902673,2.03108,7639.85,7835.25,8217.48,4.071071,4.093473,4.124895,0.083535,0.294082,0.398977,0.474311,0.475247,0.478139,0.483786,0.484461,-0.020554,-0.010174,0.049833,0.230132,0.286391,1,-8.0847,0.444266,0.13398,8.096897,-0.012921929,0.045373,0.054009,0.030853,0.000122,0.023156,2.291585,0.375458
Gaia DR3 6365446995043977472,1,27,286.5642912,286.5642912,-77.04561705,-77.04561705,1.886769,0.228953,276.2369305,-53.96521685,3.092455468,-8.119002333,-5.130837884,0.020380117,0.024093278,0.02868775,0.024622427,0.03055384,,,2016,,,,0.000043,1.5325,1.622443,1.860083,7373.48,7941.17,8155.98,4.020303,4.086258,4.145698,-0.334599,-0.0291,0.289305,0.311918,0.314191,0.316973,0.322617,0.326417,0.007865,0.130892,0.434583,0.532556,0.630379,1,-7.992164,-0.190441,-0.144942,7.994432,-0.002896428,0.391657,0.468653,0.268152,0.0000315,0.200501,2.276101,0.37273
Gaia DR3 2130705448456872576,1,28,286.3607795,286.3607795,47.26340627,47.26340627,1.090128,0.313916,302.0557477,68.88919607,1.377623924,-3.378400656,-3.273737453,0.017046718,0.018660165,0.019408481,0.025147012,0.025723126,,,2016,7453.516,,,0.000021,1.766401,1.795782,2.004,7099.05,7389.82,7444.84,3.65,3.690116,3.764348,-0.425001,-0.320261,0.082013,0.692664,0.693418,0.709862,0.721801,0.737094,-0.05883,0.029365,0.196989,0.226345,0.420592,1,-8.055983,0.662123,0.211557,8.083147,-0.003705978,0.176643,0.211783,0.121468,0.000038,0.090315,2.270417,0.367021
Gaia DR3 2105513060085129600,1,29,286.3334873,286.3334873,42.54392533,42.54392533,2.465316,0.501131,298.6192375,64.36896639,0.7164441,-1.566347211,-3.58747422,0.008407408,0.009605001,0.009896683,0.011070083,0.012210763,,,2016,7029.7256,,,0.000017,1.417641,1.495642,1.619927,6618.92,6801.7,7170.91,3.983155,4.015246,4.057561,-0.448241,0.067763,0.092586,1.282774,1.30151,1.320448,1.354381,1.371555,0.003597,0.021447,0.103219,0.315326,0.442661,1,-7.831564,1.217399,0.354649,7.92562,-0.006556034,0.091528,0.110289,0.063491,0.000132,0.046798,2.263384,0.3588
